"BenSampID","StationID","CollDate","StreamName","Basin","Subecoregion","CollMeth","Location","Sample Season","RepNum","FamTotTaxa","FamEPTTax","%Ephem","%PT - Hydropsychidae","Fam%Scrap","%Chiro","Fam%2Dom","FamHBI","%Ephem Score","%PT-H Score","%Chironomidae Score","Fam Richness Score","Fam EPT Score","Fam %Scraper Score","Fam %2Dom Score","Fam %MFBI Score","Fam SCI","Season","Year","Target_Count","method","limit","EcoregionCode","TotTaxa","HBI","EPTTax","%5Dom","%ClngP-HS","Richness Score","RichnessFinal","HBIScore","HBIFinal","EPT Score","EPTFinal","EPHEM","PT-H","Pct5DOM","PctClng-HS","CPMI63+CHOWAN","%Scrap","%Intoler","PctScrap","PctIntol","CPMI65-CHOWAN","ID","IRYear","CollectorID","Region","EcoRegion","County","AssessmentMethod","Reviewer","SeasonalDifferences","SummaryAssessment","FactorsWatershed","RecentChange","FinalAssessmentRating"
"BEJ9519R110","6ABEJ001.14",2017-04-10,"Beech Fork","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 624","Spring 2017",1,14,8,20.91,2.7,1.82,52.73,69.09,5.37,34.11,7.66,47.27,63.64,72.73,3.52,44.67,68.05,42.71,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEJ10056R110","6ABEJ001.14",2017-11-02,"Beech Fork","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 624","Fall 2017",1,9,5,4.55,4.5,4.55,19.09,82.73,5.59,7.42,12.77,80.91,40.91,45.45,8.81,24.96,64.84,35.76,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLD10042R110","6ABLD000.90",2017-11-06,"Birchfield Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 634","Fall 2017",1,13,7,1.82,16.4,39.09,4.55,70,4.39,2.97,45.97,95.45,59.09,63.64,75.76,43.35,82.49,58.59,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLD11015R110","6ABLD000.90",2018-04-24,"Birchfield Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 634","Spring 2018",1,17,8,2.73,9.1,34.55,30,60.91,4.74,4.45,25.54,70,77.27,72.73,66.95,56.49,77.41,56.35,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLD11288R110","6ABLD000.90",2018-10-31,"Birchfield Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 634","Fall 2018",1,8,4,3.64,11.8,29.09,5.45,76.36,4.84,5.93,33.2,94.55,36.36,36.36,56.38,34.16,75.94,46.61,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CNR10043R110","6ACNR021.72",2017-11-06,"Cranesnest River","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. 634 off Rt. 72","Fall 2017",1,15,7,8.18,10.9,76.36,0,70.91,3.95,13.35,30.64,100,68.18,63.64,100,42.04,89.04,63.36,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CNR10811R110","6ACNR021.72",2018-04-24,"Cranesnest River","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. 634 off Rt. 72","Spring 2018",1,23,13,20,20.9,11.82,27.27,35.45,4.35,32.63,58.73,72.73,100,100,22.9,93.27,83.16,70.43,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CNR11326R110","6ACNR021.72",2018-10-31,"Cranesnest River","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. 634 off Rt. 72","Fall 2018",1,17,10,16.36,19.1,59.09,5.45,64.55,3.88,26.69,53.63,94.55,77.27,90.91,100,51.23,89.97,73.03,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOT10055R110","6ADOT000.46",2017-11-06,"Dotson Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","off Rt. 636","Fall 2017",1,11,4,0.91,59.1,12.73,7.27,68.18,2.68,1.48,100,92.73,50,36.36,24.67,45.98,100,56.4,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOT10637R110","6ADOT000.46",2018-04-24,"Dotson Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","off Rt. 636","Spring 2018",1,11,4,16.36,14.5,8.18,40.91,57.27,4.78,26.69,40.86,59.09,50,36.36,15.86,61.74,76.74,45.92,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
